"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"5064","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","3","108164","0.0-2.0-0.0-1.0","2fk1","auditory","false"
"1081","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","109749","0.0-2.0-0.0-1.1","2fk1","auditory","true"
"907","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","7","111167","0.0-2.0-0.0-1.2","2fk1","auditory","true"
"835","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","9","112507","0.0-2.0-0.0-1.3","2fk1","auditory","false"
"621","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","11","113632","0.0-2.0-0.0-1.4","2fk1","auditory","false"
"551","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","114693","0.0-2.0-0.0-1.5","2fk1","auditory","true"
"393.99999999998545","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","15","115598","0.0-2.0-0.0-1.6","2fk1","auditory","true"
"578","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","17","116680","0.0-2.0-0.0-1.7","2fk1","auditory","true"
"538","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","117723","0.0-2.0-0.0-1.8","2fk1","auditory","true"
"571.0000000000146","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","21","118798","0.0-2.0-0.0-1.9","2fk1","auditory","true"
"382.00000000001455","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","119685","0.0-2.0-0.0-1.10","2fk1","auditory","true"
"935.9999999999854","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","25","121125","0.0-2.0-0.0-1.11","2fk1","auditory","false"
"1370","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","122998","0.0-2.0-0.0-1.12","2fk1","auditory","false"
"935","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","124437","0.0-2.0-0.0-1.13","2fk1","auditory","true"
"628.9999999999854","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","31","125576","0.0-2.0-0.0-1.14","2fk1","auditory","true"
"782.0000000000146","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","126861","0.0-2.0-0.0-1.15","2fk1","auditory","true"
"898.0000000000437","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","36","129880","0.0-2.0-0.1-1.16","2fk1","auditory","true"
"504","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","38","130888","0.0-2.0-0.1-1.17","2fk1","auditory","true"
"1023","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","40","132417","0.0-2.0-0.1-1.18","2fk1","auditory","false"
"1058","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","133980","0.0-2.0-0.1-1.19","2fk1","auditory","true"
"542","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","135026","0.0-2.0-0.1-1.20","2fk1","auditory","true"
"403.9999999999709","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","46","135933","0.0-2.0-0.1-1.21","2fk1","auditory","true"
"474","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","136917","0.0-2.0-0.1-1.22","2fk1","auditory","true"
"499","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","137919","0.0-2.0-0.1-1.23","2fk1","auditory","true"
"453","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","138879","0.0-2.0-0.1-1.24","2fk1","auditory","true"
"649","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","54","140033","0.0-2.0-0.1-1.25","2fk1","auditory","true"
"602","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","56","141140","0.0-2.0-0.1-1.26","2fk1","auditory","true"
"409","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","58","142053","0.0-2.0-0.1-1.27","2fk1","auditory","true"
"1154","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","60","143711","0.0-2.0-0.1-1.28","2fk1","auditory","true"
"405","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","62","144620","0.0-2.0-0.1-1.29","2fk1","auditory","true"
"476","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","145600","0.0-2.0-0.1-1.30","2fk1","auditory","true"
"1179","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","147283","0.0-2.0-0.1-1.31","2fk1","auditory","true"
