"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"3634","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","3","45693","0.0-2.0-0.0-1.0","44da","auditory","true"
"1809","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","5","48008","0.0-2.0-0.0-1.1","44da","auditory","true"
"1802","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","7","50314","0.0-2.0-0.0-1.2","44da","auditory","true"
"1007","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","51825","0.0-2.0-0.0-1.3","44da","auditory","true"
"2241","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","54571","0.0-2.0-0.0-1.4","44da","auditory","true"
"785.0000000000073","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","13","55861","0.0-2.0-0.0-1.5","44da","auditory","true"
"635","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","57000","0.0-2.0-0.0-1.6","44da","auditory","true"
"691","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","17","58196","0.0-2.0-0.0-1.7","44da","auditory","true"
"505","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","19","59206","0.0-2.0-0.0-1.8","44da","auditory","false"
"1247","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","60958","0.0-2.0-0.0-1.9","44da","auditory","true"
"637.9999999999927","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","23","62101","0.0-2.0-0.0-1.10","44da","auditory","true"
"643.9999999999927","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","25","63249","0.0-2.0-0.0-1.11","44da","auditory","true"
"653","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","27","64407","0.0-2.0-0.0-1.12","44da","auditory","true"
"562","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","65473","0.0-2.0-0.0-1.13","44da","auditory","true"
"622","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","31","66599","0.0-2.0-0.0-1.14","44da","auditory","true"
"570","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","33","67673","0.0-2.0-0.0-1.15","44da","auditory","true"
"651","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","36","73263","0.0-2.0-0.1-1.16","44da","auditory","true"
"504","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","38","74272","0.0-2.0-0.1-1.17","44da","auditory","true"
"499","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","75275","0.0-2.0-0.1-1.18","44da","auditory","true"
"471","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","76250","0.0-2.0-0.1-1.19","44da","auditory","true"
"478","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","77233","0.0-2.0-0.1-1.20","44da","auditory","true"
"418","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","78157","0.0-2.0-0.1-1.21","44da","auditory","true"
"591","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","48","79252","0.0-2.0-0.1-1.22","44da","auditory","true"
"532","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","80288","0.0-2.0-0.1-1.23","44da","auditory","true"
"646","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","52","81438","0.0-2.0-0.1-1.24","44da","auditory","true"
"538.0000000000146","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","82482","0.0-2.0-0.1-1.25","44da","auditory","true"
"731","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","56","83717","0.0-2.0-0.1-1.26","44da","auditory","true"
"821","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","58","85042","0.0-2.0-0.1-1.27","44da","auditory","true"
"829","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","60","86376","0.0-2.0-0.1-1.28","44da","auditory","true"
"843.0000000000146","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","87723","0.0-2.0-0.1-1.29","44da","auditory","true"
"903","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","89130","0.0-2.0-0.1-1.30","44da","auditory","true"
"570","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","90206","0.0-2.0-0.1-1.31","44da","auditory","true"
