"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1475","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","60964","0.0-2.0-0.0-1.0","48gk","auditory","true"
"1425.0000000000073","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","5","62899","0.0-2.0-0.0-1.1","48gk","auditory","true"
"848","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","7","64254","0.0-2.0-0.0-1.2","48gk","auditory","true"
"879","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","65641","0.0-2.0-0.0-1.3","48gk","auditory","true"
"750","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","66897","0.0-2.0-0.0-1.4","48gk","auditory","true"
"775","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","68179","0.0-2.0-0.0-1.5","48gk","auditory","true"
"905","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","15","69591","0.0-2.0-0.0-1.6","48gk","auditory","true"
"716","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","17","70816","0.0-2.0-0.0-1.7","48gk","auditory","true"
"667","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","19","71990","0.0-2.0-0.0-1.8","48gk","auditory","true"
"724","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","21","73222","0.0-2.0-0.0-1.9","48gk","auditory","true"
"749","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","74478","0.0-2.0-0.0-1.10","48gk","auditory","true"
"831","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","75817","0.0-2.0-0.0-1.11","48gk","auditory","true"
"672","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","76997","0.0-2.0-0.0-1.12","48gk","auditory","true"
"608","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","78113","0.0-2.0-0.0-1.13","48gk","auditory","true"
"805","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","31","79424","0.0-2.0-0.0-1.14","48gk","auditory","true"
"625","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","33","80556","0.0-2.0-0.0-1.15","48gk","auditory","true"
"720","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","36","84366","0.0-2.0-0.1-1.16","48gk","auditory","true"
"713","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","38","85587","0.0-2.0-0.1-1.17","48gk","auditory","true"
"849","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","86943","0.0-2.0-0.1-1.18","48gk","auditory","true"
"808","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","88259","0.0-2.0-0.1-1.19","48gk","auditory","true"
"730","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","44","89497","0.0-2.0-0.1-1.20","48gk","auditory","true"
"754","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","90758","0.0-2.0-0.1-1.21","48gk","auditory","true"
"768.0000000000146","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","92033","0.0-2.0-0.1-1.22","48gk","auditory","true"
"679","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","50","93219","0.0-2.0-0.1-1.23","48gk","auditory","true"
"657","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","52","94383","0.0-2.0-0.1-1.24","48gk","auditory","true"
"694","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","95584","0.0-2.0-0.1-1.25","48gk","auditory","true"
"792","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","56","96883","0.0-2.0-0.1-1.26","48gk","auditory","true"
"672","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","98062","0.0-2.0-0.1-1.27","48gk","auditory","true"
"724.9999999999854","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","60","99294","0.0-2.0-0.1-1.28","48gk","auditory","true"
"669.9999999999854","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","62","100471","0.0-2.0-0.1-1.29","48gk","auditory","true"
"743","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","101723","0.0-2.0-0.1-1.30","48gk","auditory","true"
"608","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","102838","0.0-2.0-0.1-1.31","48gk","auditory","true"
