"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"740","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","3","27438","0.0-2.0-0.0-1.0","4m2l","auditory","true"
"436.2000000476837","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","28385","0.0-2.0-0.0-1.1","4m2l","auditory","true"
"478.60000002384186","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","7","29380","0.0-2.0-0.0-1.2","4m2l","auditory","true"
"457.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","30349","0.0-2.0-0.0-1.3","4m2l","auditory","true"
"421.89999997615814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","31287","0.0-2.0-0.0-1.4","4m2l","auditory","true"
"429.2000000476837","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","13","32232","0.0-2.0-0.0-1.5","4m2l","auditory","true"
"374.10000002384186","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","33113","0.0-2.0-0.0-1.6","4m2l","auditory","true"
"388","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","17","34016","0.0-2.0-0.0-1.7","4m2l","auditory","true"
"311.89999997615814","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","34842","0.0-2.0-0.0-1.8","4m2l","auditory","true"
"374.1999999284744","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","21","35730","0.0-2.0-0.0-1.9","4m2l","auditory","true"
"331.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","36573","0.0-2.0-0.0-1.10","4m2l","auditory","true"
"348.7000000476837","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","25","37429","0.0-2.0-0.0-1.11","4m2l","auditory","true"
"382.2999999523163","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","27","38319","0.0-2.0-0.0-1.12","4m2l","auditory","true"
"349.7000000476837","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","29","39179","0.0-2.0-0.0-1.13","4m2l","auditory","false"
"542.7000000476837","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","40229","0.0-2.0-0.0-1.14","4m2l","auditory","true"
"312.10000002384186","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","33","41050","0.0-2.0-0.0-1.15","4m2l","auditory","true"
"1000.7000000476837","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","36","50266","0.0-2.0-0.1-1.16","4m2l","auditory","true"
"423.7999999523163","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","38","51201","0.0-2.0-0.1-1.17","4m2l","auditory","true"
"404.1999999284744","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","52119","0.0-2.0-0.1-1.18","4m2l","auditory","true"
"440.7999999523163","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","42","53073","0.0-2.0-0.1-1.19","4m2l","auditory","true"
"350.89999997615814","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","44","53933","0.0-2.0-0.1-1.20","4m2l","auditory","true"
"414.2000000476837","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","54861","0.0-2.0-0.1-1.21","4m2l","auditory","true"
"451.89999997615814","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","55825","0.0-2.0-0.1-1.22","4m2l","auditory","true"
"494.7000000476837","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","56842","0.0-2.0-0.1-1.23","4m2l","auditory","true"
"453.89999997615814","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","52","57812","0.0-2.0-0.1-1.24","4m2l","auditory","true"
"616.7000000476837","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","58938","0.0-2.0-0.1-1.25","4m2l","auditory","true"
"545.4000000953674","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","59991","0.0-2.0-0.1-1.26","4m2l","auditory","true"
"385.2000000476837","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","58","60887","0.0-2.0-0.1-1.27","4m2l","auditory","true"
"355.10000002384186","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","60","61754","0.0-2.0-0.1-1.28","4m2l","auditory","true"
"341.8000000715256","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","62","62604","0.0-2.0-0.1-1.29","4m2l","auditory","true"
"355.89999997615814","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","63472","0.0-2.0-0.1-1.30","4m2l","auditory","true"
"448.89999997615814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","64429","0.0-2.0-0.1-1.31","4m2l","auditory","true"
