"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1617.3999999761581","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","55936","0.0-2.0-0.0-1.0","o90n","auditory","true"
"1180.6999999284744","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","5","57625","0.0-2.0-0.0-1.1","o90n","auditory","true"
"918.3000000715256","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","7","59050","0.0-2.0-0.0-1.2","o90n","auditory","true"
"847.1000000238419","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","60405","0.0-2.0-0.0-1.3","o90n","auditory","true"
"751.5999999046326","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","61660","0.0-2.0-0.0-1.4","o90n","auditory","true"
"420.60000002384186","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","13","62587","0.0-2.0-0.0-1.5","o90n","auditory","true"
"403.89999997615814","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","15","63498","0.0-2.0-0.0-1.6","o90n","auditory","false"
"654","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","17","64655","0.0-2.0-0.0-1.7","o90n","auditory","true"
"580.8000000715256","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","19","65739","0.0-2.0-0.0-1.8","o90n","auditory","true"
"641.7999999523163","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","66885","0.0-2.0-0.0-1.9","o90n","auditory","true"
"563.2000000476837","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","67952","0.0-2.0-0.0-1.10","o90n","auditory","true"
"690.2999999523163","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","25","69149","0.0-2.0-0.0-1.11","o90n","auditory","true"
"560.6000000238419","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","27","70216","0.0-2.0-0.0-1.12","o90n","auditory","true"
"673.1000000238419","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","71396","0.0-2.0-0.0-1.13","o90n","auditory","true"
"557.1999999284744","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","31","72459","0.0-2.0-0.0-1.14","o90n","auditory","true"
"576.8000000715256","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","33","73543","0.0-2.0-0.0-1.15","o90n","auditory","true"
"577.1999999284744","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","36","77073","0.0-2.0-0.1-1.16","o90n","auditory","true"
"648.8999999761581","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","38","78225","0.0-2.0-0.1-1.17","o90n","auditory","true"
"592.8999999761581","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","79325","0.0-2.0-0.1-1.18","o90n","auditory","true"
"552.1999999284744","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","80382","0.0-2.0-0.1-1.19","o90n","auditory","true"
"614.8999999761581","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","81503","0.0-2.0-0.1-1.20","o90n","auditory","true"
"527.2000000476837","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","82534","0.0-2.0-0.1-1.21","o90n","auditory","true"
"833.1999999284744","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","48","83873","0.0-2.0-0.1-1.22","o90n","auditory","true"
"505.89999997615814","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","50","84882","0.0-2.0-0.1-1.23","o90n","auditory","true"
"547.8999999761581","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","52","85934","0.0-2.0-0.1-1.24","o90n","auditory","true"
"588.8999999761581","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","54","87026","0.0-2.0-0.1-1.25","o90n","auditory","true"
"559","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","88088","0.0-2.0-0.1-1.26","o90n","auditory","true"
"497.59999990463257","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","89093","0.0-2.0-0.1-1.27","o90n","auditory","true"
"620.2999999523163","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","90220","0.0-2.0-0.1-1.28","o90n","auditory","true"
"371.39999997615814","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","91098","0.0-2.0-0.1-1.29","o90n","auditory","false"
"576.0999999046326","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","92181","0.0-2.0-0.1-1.30","o90n","auditory","true"
"576.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","66","93260","0.0-2.0-0.1-1.31","o90n","auditory","true"
