"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1000.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","3","55295","0.0-2.0-0.0-1.0","pft0","auditory","true"
"612.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","5","56421","0.0-2.0-0.0-1.1","pft0","auditory","true"
"9376.099999904633","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","7","66304","0.0-2.0-0.0-1.2","pft0","auditory","false"
"2574.2000000476837","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","9","69389","0.0-2.0-0.0-1.3","pft0","auditory","false"
"1424.6000001430511","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","11","71321","0.0-2.0-0.0-1.4","pft0","auditory","true"
"2002.1000001430511","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","13","73830","0.0-2.0-0.0-1.5","pft0","auditory","false"
"677.6000001430511","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","15","75015","0.0-2.0-0.0-1.6","pft0","auditory","true"
"1291","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","17","76818","0.0-2.0-0.0-1.7","pft0","auditory","false"
"1309","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","19","78642","0.0-2.0-0.0-1.8","pft0","auditory","false"
"730.5","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","21","79883","0.0-2.0-0.0-1.9","pft0","auditory","false"
"514","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","80906","0.0-2.0-0.0-1.10","pft0","auditory","true"
"1016.2000000476837","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","25","82431","0.0-2.0-0.0-1.11","pft0","auditory","true"
"688","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","27","83630","0.0-2.0-0.0-1.12","pft0","auditory","false"
"508.09999990463257","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","84647","0.0-2.0-0.0-1.13","pft0","auditory","false"
"416.59999990463257","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","31","85574","0.0-2.0-0.0-1.14","pft0","auditory","false"
"406","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","33","86487","0.0-2.0-0.0-1.15","pft0","auditory","false"
"646.2000000476837","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","36","90629","0.0-2.0-0.1-1.16","pft0","auditory","false"
"508.5","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","38","91646","0.0-2.0-0.1-1.17","pft0","auditory","false"
"802.9000000953674","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","92966","0.0-2.0-0.1-1.18","pft0","auditory","true"
"735.2999999523163","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","42","94210","0.0-2.0-0.1-1.19","pft0","auditory","true"
"796.5999999046326","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","95512","0.0-2.0-0.1-1.20","pft0","auditory","true"
"713.7999999523163","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","96730","0.0-2.0-0.1-1.21","pft0","auditory","true"
"497.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","48","97737","0.0-2.0-0.1-1.22","pft0","auditory","true"
"680.8999998569489","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","98929","0.0-2.0-0.1-1.23","pft0","auditory","true"
"981.5","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","52","100419","0.0-2.0-0.1-1.24","pft0","auditory","true"
"686.2000000476837","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","101612","0.0-2.0-0.1-1.25","pft0","auditory","true"
"573","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","102695","0.0-2.0-0.1-1.26","pft0","auditory","true"
"482.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","58","103689","0.0-2.0-0.1-1.27","pft0","auditory","true"
"540.1000001430511","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","60","104740","0.0-2.0-0.1-1.28","pft0","auditory","true"
"393.90000009536743","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","62","105644","0.0-2.0-0.1-1.29","pft0","auditory","false"
"618.9000000953674","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","64","106771","0.0-2.0-0.1-1.30","pft0","auditory","true"
"698.7999999523163","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","107981","0.0-2.0-0.1-1.31","pft0","auditory","true"
