"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"604","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","3","17989","0.0-2.0-0.0-1.0","pjnc","auditory","true"
"436","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","5","18931","0.0-2.0-0.0-1.1","pjnc","auditory","true"
"480","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","19915","0.0-2.0-0.0-1.2","pjnc","auditory","true"
"534.0000000000036","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","20956","0.0-2.0-0.0-1.3","pjnc","auditory","true"
"593","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","11","22054","0.0-2.0-0.0-1.4","pjnc","auditory","true"
"508","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","23067","0.0-2.0-0.0-1.5","pjnc","auditory","true"
"399","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","23972","0.0-2.0-0.0-1.6","pjnc","auditory","true"
"486","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","17","24961","0.0-2.0-0.0-1.7","pjnc","auditory","true"
"358","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","19","25824","0.0-2.0-0.0-1.8","pjnc","auditory","true"
"386","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","26715","0.0-2.0-0.0-1.9","pjnc","auditory","true"
"568","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","23","27786","0.0-2.0-0.0-1.10","pjnc","auditory","true"
"649","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","28940","0.0-2.0-0.0-1.11","pjnc","auditory","true"
"441","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","27","29886","0.0-2.0-0.0-1.12","pjnc","auditory","true"
"550","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","29","30942","0.0-2.0-0.0-1.13","pjnc","auditory","true"
"535","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","31982","0.0-2.0-0.0-1.14","pjnc","auditory","true"
"528","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","33016","0.0-2.0-0.0-1.15","pjnc","auditory","true"
"489.0000000000073","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","37232","0.0-2.0-0.1-1.16","pjnc","auditory","true"
"541","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","38","38278","0.0-2.0-0.1-1.17","pjnc","auditory","true"
"562.0000000000073","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","40","39346","0.0-2.0-0.1-1.18","pjnc","auditory","false"
"521","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","40372","0.0-2.0-0.1-1.19","pjnc","auditory","true"
"508","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","44","41386","0.0-2.0-0.1-1.20","pjnc","auditory","true"
"409","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","42300","0.0-2.0-0.1-1.21","pjnc","auditory","true"
"606","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","43411","0.0-2.0-0.1-1.22","pjnc","auditory","true"
"672","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","50","44588","0.0-2.0-0.1-1.23","pjnc","auditory","true"
"494","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","52","45586","0.0-2.0-0.1-1.24","pjnc","auditory","true"
"420","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","46510","0.0-2.0-0.1-1.25","pjnc","auditory","true"
"396","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","47410","0.0-2.0-0.1-1.26","pjnc","auditory","true"
"640","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","58","48555","0.0-2.0-0.1-1.27","pjnc","auditory","false"
"707","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","60","49767","0.0-2.0-0.1-1.28","pjnc","auditory","true"
"900","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","62","51173","0.0-2.0-0.1-1.29","pjnc","auditory","true"
"533","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","64","52211","0.0-2.0-0.1-1.30","pjnc","auditory","true"
"713","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","53429","0.0-2.0-0.1-1.31","pjnc","auditory","true"
