"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"471","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","3","26685","0.0-2.0-0.0-1.0","qs7d","auditory","true"
"373","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","5","27565","0.0-2.0-0.0-1.1","qs7d","auditory","false"
"367.99999999999636","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","7","28439","0.0-2.0-0.0-1.2","qs7d","auditory","true"
"349","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","29296","0.0-2.0-0.0-1.3","qs7d","auditory","true"
"408","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","11","30211","0.0-2.0-0.0-1.4","qs7d","auditory","true"
"450.99999999999636","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","13","31166","0.0-2.0-0.0-1.5","qs7d","auditory","false"
"494.99999999999636","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","32169","0.0-2.0-0.0-1.6","qs7d","auditory","false"
"740","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","17","33418","0.0-2.0-0.0-1.7","qs7d","auditory","false"
"732.0000000000073","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","34658","0.0-2.0-0.0-1.8","qs7d","auditory","true"
"462","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","35626","0.0-2.0-0.0-1.9","qs7d","auditory","true"
"546","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","23","36679","0.0-2.0-0.0-1.10","qs7d","auditory","false"
"430","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","25","37615","0.0-2.0-0.0-1.11","qs7d","auditory","true"
"495","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","27","38618","0.0-2.0-0.0-1.12","qs7d","auditory","true"
"373","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","39498","0.0-2.0-0.0-1.13","qs7d","auditory","true"
"463","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","31","40467","0.0-2.0-0.0-1.14","qs7d","auditory","true"
"443","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","41417","0.0-2.0-0.0-1.15","qs7d","auditory","true"
"592.0000000000073","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","36","43969","0.0-2.0-0.1-1.16","qs7d","auditory","true"
"408","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","44884","0.0-2.0-0.1-1.17","qs7d","auditory","true"
"506","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","40","45898","0.0-2.0-0.1-1.18","qs7d","auditory","true"
"483.9999999999927","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","42","46889","0.0-2.0-0.1-1.19","qs7d","auditory","false"
"387","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","47782","0.0-2.0-0.1-1.20","qs7d","auditory","true"
"409.9999999999927","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","46","48699","0.0-2.0-0.1-1.21","qs7d","auditory","true"
"426.9999999999927","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","48","49634","0.0-2.0-0.1-1.22","qs7d","auditory","true"
"425","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","50565","0.0-2.0-0.1-1.23","qs7d","auditory","true"
"478","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","52","51551","0.0-2.0-0.1-1.24","qs7d","auditory","true"
"497","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","52556","0.0-2.0-0.1-1.25","qs7d","auditory","true"
"602","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","56","53664","0.0-2.0-0.1-1.26","qs7d","auditory","true"
"452","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","58","54623","0.0-2.0-0.1-1.27","qs7d","auditory","false"
"426","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","55555","0.0-2.0-0.1-1.28","qs7d","auditory","true"
"422","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","62","56485","0.0-2.0-0.1-1.29","qs7d","auditory","true"
"408","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","64","57401","0.0-2.0-0.1-1.30","qs7d","auditory","true"
"481","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","66","58386","0.0-2.0-0.1-1.31","qs7d","auditory","true"
