"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"574","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","3","4653","0.0-2.0-0.0-1.0","scv0","auditory","false"
"644","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","5804","0.0-2.0-0.0-1.1","scv0","auditory","true"
"281","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","6592","0.0-2.0-0.0-1.2","scv0","auditory","true"
"388.9999999999991","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","9","7489","0.0-2.0-0.0-1.3","scv0","auditory","true"
"388.9999999999982","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","11","8385","0.0-2.0-0.0-1.4","scv0","auditory","true"
"438","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","13","9330","0.0-2.0-0.0-1.5","scv0","auditory","false"
"373","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","15","10211","0.0-2.0-0.0-1.6","scv0","auditory","true"
"359","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","17","11077","0.0-2.0-0.0-1.7","scv0","auditory","true"
"400","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","11984","0.0-2.0-0.0-1.8","scv0","auditory","true"
"308","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","21","12799","0.0-2.0-0.0-1.9","scv0","auditory","true"
"322","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","23","13629","0.0-2.0-0.0-1.10","scv0","auditory","true"
"377","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","25","14513","0.0-2.0-0.0-1.11","scv0","auditory","false"
"474.0000000000018","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","15494","0.0-2.0-0.0-1.12","scv0","auditory","true"
"441","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","29","16442","0.0-2.0-0.0-1.13","scv0","auditory","true"
"421","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","17371","0.0-2.0-0.0-1.14","scv0","auditory","true"
"369","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","33","18245","0.0-2.0-0.0-1.15","scv0","auditory","true"
"409.99999999999636","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","36","20064","0.0-2.0-0.1-1.16","scv0","auditory","true"
"414","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","38","20985","0.0-2.0-0.1-1.17","scv0","auditory","true"
"402","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","21893","0.0-2.0-0.1-1.18","scv0","auditory","true"
"353","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","22753","0.0-2.0-0.1-1.19","scv0","auditory","true"
"410","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","44","23671","0.0-2.0-0.1-1.20","scv0","auditory","true"
"415","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","46","24594","0.0-2.0-0.1-1.21","scv0","auditory","true"
"497","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","48","25597","0.0-2.0-0.1-1.22","scv0","auditory","false"
"360","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","26464","0.0-2.0-0.1-1.23","scv0","auditory","true"
"519.0000000000036","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","52","27491","0.0-2.0-0.1-1.24","scv0","auditory","true"
"680","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","54","28677","0.0-2.0-0.1-1.25","scv0","auditory","true"
"397","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","56","29580","0.0-2.0-0.1-1.26","scv0","auditory","false"
"372","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","30459","0.0-2.0-0.1-1.27","scv0","auditory","true"
"498","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","60","31464","0.0-2.0-0.1-1.28","scv0","auditory","true"
"587.9999999999964","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","62","32560","0.0-2.0-0.1-1.29","scv0","auditory","true"
"515","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","33583","0.0-2.0-0.1-1.30","scv0","auditory","true"
"476","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","66","34566","0.0-2.0-0.1-1.31","scv0","auditory","true"
