"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"654.6999999997206","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","3","27500","0.0-2.0-0.0-1.0","wa8v","auditory","true"
"539.6000000000931","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","5","28548","0.0-2.0-0.0-1.1","wa8v","auditory","true"
"682.8000000002794","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","7","29748","0.0-2.0-0.0-1.2","wa8v","auditory","true"
"460.5","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","9","30712","0.0-2.0-0.0-1.3","wa8v","auditory","true"
"543","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","11","31760","0.0-2.0-0.0-1.4","wa8v","auditory","true"
"629.2999999998137","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","32892","0.0-2.0-0.0-1.5","wa8v","auditory","true"
"454.29999999981374","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","15","33852","0.0-2.0-0.0-1.6","wa8v","auditory","false"
"612.8999999999069","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","34968","0.0-2.0-0.0-1.7","wa8v","auditory","true"
"405.20000000018626","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","35876","0.0-2.0-0.0-1.8","wa8v","auditory","true"
"709.7000000001863","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","21","37088","0.0-2.0-0.0-1.9","wa8v","auditory","false"
"817.5999999996275","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","38408","0.0-2.0-0.0-1.10","wa8v","auditory","true"
"776.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","25","39700","0.0-2.0-0.0-1.11","wa8v","auditory","true"
"813.5","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","27","41016","0.0-2.0-0.0-1.12","wa8v","auditory","true"
"506","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","29","42024","0.0-2.0-0.0-1.13","wa8v","auditory","true"
"677.7999999998137","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","31","43204","0.0-2.0-0.0-1.14","wa8v","auditory","false"
"549.7999999998137","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","44256","0.0-2.0-0.0-1.15","wa8v","auditory","true"
"589.1999999997206","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","36","56744","0.0-2.0-0.1-1.16","wa8v","auditory","true"
"506.40000000037253","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","38","57752","0.0-2.0-0.1-1.17","wa8v","auditory","true"
"761.7000000001863","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","40","59017","0.0-2.0-0.1-1.18","wa8v","auditory","true"
"737.4000000003725","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","60256","0.0-2.0-0.1-1.19","wa8v","auditory","true"
"490.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","61257","0.0-2.0-0.1-1.20","wa8v","auditory","true"
"477.3000000002794","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","46","62236","0.0-2.0-0.1-1.21","wa8v","auditory","true"
"594.5","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","48","63333","0.0-2.0-0.1-1.22","wa8v","auditory","true"
"573.7000000001863","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","64409","0.0-2.0-0.1-1.23","wa8v","auditory","true"
"521.3999999999069","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","52","65433","0.0-2.0-0.1-1.24","wa8v","auditory","true"
"485.60000000009313","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","54","66421","0.0-2.0-0.1-1.25","wa8v","auditory","true"
"365.6999999997206","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","67289","0.0-2.0-0.1-1.26","wa8v","auditory","true"
"498.60000000009313","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","68289","0.0-2.0-0.1-1.27","wa8v","auditory","true"
"418.1999999997206","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","60","69209","0.0-2.0-0.1-1.28","wa8v","auditory","true"
"630","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","70341","0.0-2.0-0.1-1.29","wa8v","auditory","true"
"470.1999999997206","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","71313","0.0-2.0-0.1-1.30","wa8v","auditory","true"
"525.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","72341","0.0-2.0-0.1-1.31","wa8v","auditory","true"
