"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"857.3999999761581","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","3","24657","0.0-2.0-0.0-1.0","eycb","auditory","true"
"644.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","25807","0.0-2.0-0.0-1.1","eycb","auditory","true"
"1310.2000000178814","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","7","27621","0.0-2.0-0.0-1.2","eycb","auditory","true"
"557.1999999880791","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","28682","0.0-2.0-0.0-1.3","eycb","auditory","true"
"545.2000000178814","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","11","29734","0.0-2.0-0.0-1.4","eycb","auditory","true"
"547.2999999821186","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","30788","0.0-2.0-0.0-1.5","eycb","auditory","true"
"487.7000000178814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","15","31779","0.0-2.0-0.0-1.6","eycb","auditory","true"
"359.90000000596046","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","17","32643","0.0-2.0-0.0-1.7","eycb","auditory","true"
"488.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","33636","0.0-2.0-0.0-1.8","eycb","auditory","true"
"485.59999999403954","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","21","34624","0.0-2.0-0.0-1.9","eycb","auditory","true"
"518.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","35650","0.0-2.0-0.0-1.10","eycb","auditory","true"
"509.5","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","25","36663","0.0-2.0-0.0-1.11","eycb","auditory","true"
"484.80000001192093","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","27","37652","0.0-2.0-0.0-1.12","eycb","auditory","true"
"472.59999999403954","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","38628","0.0-2.0-0.0-1.13","eycb","auditory","true"
"461.40000000596046","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","31","39592","0.0-2.0-0.0-1.14","eycb","auditory","true"
"485.69999998807907","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","40582","0.0-2.0-0.0-1.15","eycb","auditory","true"
"413.7999999821186","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","46909","0.0-2.0-0.1-1.16","eycb","auditory","true"
"531.4000000059605","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","47945","0.0-2.0-0.1-1.17","eycb","auditory","true"
"473.80000001192093","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","48922","0.0-2.0-0.1-1.18","eycb","auditory","true"
"462.40000000596046","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","49887","0.0-2.0-0.1-1.19","eycb","auditory","true"
"466.19999998807907","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","44","50855","0.0-2.0-0.1-1.20","eycb","auditory","true"
"450.2999999821186","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","46","51810","0.0-2.0-0.1-1.21","eycb","auditory","true"
"382.90000000596046","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","52700","0.0-2.0-0.1-1.22","eycb","auditory","true"
"490.10000002384186","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","53695","0.0-2.0-0.1-1.23","eycb","auditory","true"
"478","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","54676","0.0-2.0-0.1-1.24","eycb","auditory","true"
"421.5","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","54","55600","0.0-2.0-0.1-1.25","eycb","auditory","true"
"457.69999998807907","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","56","56564","0.0-2.0-0.1-1.26","eycb","auditory","true"
"440.2999999821186","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","57510","0.0-2.0-0.1-1.27","eycb","auditory","true"
"426.89999997615814","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","58442","0.0-2.0-0.1-1.28","eycb","auditory","true"
"418.7000000178814","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","59366","0.0-2.0-0.1-1.29","eycb","auditory","true"
"386.90000000596046","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","60258","0.0-2.0-0.1-1.30","eycb","auditory","true"
"486.30000001192093","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","61248","0.0-2.0-0.1-1.31","eycb","auditory","true"
