"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"752.9000000953674","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","22415","0.0-2.0-0.0-1.0","g6wm","auditory","true"
"537.2999999523163","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","5","23464","0.0-2.0-0.0-1.1","g6wm","auditory","true"
"444.80000019073486","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","7","24430","0.0-2.0-0.0-1.2","g6wm","auditory","true"
"594.0999999046326","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","25530","0.0-2.0-0.0-1.3","g6wm","auditory","true"
"343.39999985694885","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","11","26379","0.0-2.0-0.0-1.4","g6wm","auditory","true"
"406.5","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","13","27297","0.0-2.0-0.0-1.5","g6wm","auditory","true"
"465.59999990463257","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","28281","0.0-2.0-0.0-1.6","g6wm","auditory","true"
"378.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","29183","0.0-2.0-0.0-1.7","g6wm","auditory","true"
"397.7000000476837","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","30091","0.0-2.0-0.0-1.8","g6wm","auditory","true"
"492","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","21","31095","0.0-2.0-0.0-1.9","g6wm","auditory","true"
"398.59999990463257","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","23","32014","0.0-2.0-0.0-1.10","g6wm","auditory","true"
"379.2000000476837","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","32914","0.0-2.0-0.0-1.11","g6wm","auditory","true"
"414.10000014305115","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","33849","0.0-2.0-0.0-1.12","g6wm","auditory","true"
"608.5","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","34964","0.0-2.0-0.0-1.13","g6wm","auditory","true"
"463.09999990463257","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","31","35948","0.0-2.0-0.0-1.14","g6wm","auditory","true"
"368.5","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","36834","0.0-2.0-0.0-1.15","g6wm","auditory","true"
"1749.3000001907349","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","112744","0.0-2.0-0.1-1.16","g6wm","auditory","true"
"538","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","113794","0.0-2.0-0.1-1.17","g6wm","auditory","true"
"395.09999990463257","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","114711","0.0-2.0-0.1-1.18","g6wm","auditory","true"
"693.6999998092651","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","115911","0.0-2.0-0.1-1.19","g6wm","auditory","true"
"1453.5","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","44","117870","0.0-2.0-0.1-1.20","g6wm","auditory","true"
"491","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","118877","0.0-2.0-0.1-1.21","g6wm","auditory","true"
"328.2000000476837","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","48","119724","0.0-2.0-0.1-1.22","g6wm","auditory","true"
"359.09999990463257","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","120601","0.0-2.0-0.1-1.23","g6wm","auditory","true"
"339.40000009536743","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","52","121446","0.0-2.0-0.1-1.24","g6wm","auditory","true"
"358.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","122316","0.0-2.0-0.1-1.25","g6wm","auditory","true"
"356.40000009536743","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","56","123183","0.0-2.0-0.1-1.26","g6wm","auditory","true"
"405.7000000476837","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","124112","0.0-2.0-0.1-1.27","g6wm","auditory","true"
"316.39999985694885","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","124943","0.0-2.0-0.1-1.28","g6wm","auditory","true"
"385.89999985694885","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","125852","0.0-2.0-0.1-1.29","g6wm","auditory","true"
"426.5","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","126783","0.0-2.0-0.1-1.30","g6wm","auditory","true"
"432.7000000476837","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","127729","0.0-2.0-0.1-1.31","g6wm","auditory","true"
