"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"869","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","3","23663","0.0-2.0-0.0-1.0","h5h5","auditory","true"
"368.00000000000364","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","5","24534","0.0-2.0-0.0-1.1","h5h5","auditory","true"
"350","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","7","25390","0.0-2.0-0.0-1.2","h5h5","auditory","true"
"263","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","9","26157","0.0-2.0-0.0-1.3","h5h5","auditory","false"
"548","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","11","27210","0.0-2.0-0.0-1.4","h5h5","auditory","true"
"499","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","28213","0.0-2.0-0.0-1.5","h5h5","auditory","true"
"397","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","15","29113","0.0-2.0-0.0-1.6","h5h5","auditory","true"
"383","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","30002","0.0-2.0-0.0-1.7","h5h5","auditory","true"
"349","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","30854","0.0-2.0-0.0-1.8","h5h5","auditory","true"
"308","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","21","31666","0.0-2.0-0.0-1.9","h5h5","auditory","true"
"396","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","23","32566","0.0-2.0-0.0-1.10","h5h5","auditory","true"
"385","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","25","33456","0.0-2.0-0.0-1.11","h5h5","auditory","true"
"357.9999999999927","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","34318","0.0-2.0-0.0-1.12","h5h5","auditory","true"
"343","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","29","35166","0.0-2.0-0.0-1.13","h5h5","auditory","false"
"425.0000000000073","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","31","36095","0.0-2.0-0.0-1.14","h5h5","auditory","false"
"335","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","33","36933","0.0-2.0-0.0-1.15","h5h5","auditory","true"
"347","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","39493","0.0-2.0-0.1-1.16","h5h5","auditory","true"
"480","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","40476","0.0-2.0-0.1-1.17","h5h5","auditory","true"
"406","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","40","41386","0.0-2.0-0.1-1.18","h5h5","auditory","true"
"441","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","42330","0.0-2.0-0.1-1.19","h5h5","auditory","true"
"420","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","44","43253","0.0-2.0-0.1-1.20","h5h5","auditory","true"
"357","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","46","44116","0.0-2.0-0.1-1.21","h5h5","auditory","true"
"416.0000000000073","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","45036","0.0-2.0-0.1-1.22","h5h5","auditory","true"
"521","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","46063","0.0-2.0-0.1-1.23","h5h5","auditory","true"
"291","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","46859","0.0-2.0-0.1-1.24","h5h5","auditory","true"
"439","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","54","47805","0.0-2.0-0.1-1.25","h5h5","auditory","true"
"326","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","56","48636","0.0-2.0-0.1-1.26","h5h5","auditory","true"
"404","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","58","49544","0.0-2.0-0.1-1.27","h5h5","auditory","true"
"286","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","60","50334","0.0-2.0-0.1-1.28","h5h5","auditory","true"
"410","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","62","51251","0.0-2.0-0.1-1.29","h5h5","auditory","true"
"384","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","52141","0.0-2.0-0.1-1.30","h5h5","auditory","true"
"343","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","66","52989","0.0-2.0-0.1-1.31","h5h5","auditory","false"
