"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"512","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","85881","0.0-2.0-0.0-1.0","j6wo","auditory","true"
"278","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","86673","0.0-2.0-0.0-1.1","j6wo","auditory","true"
"407.00000000001455","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","7","87595","0.0-2.0-0.0-1.2","j6wo","auditory","true"
"338","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","9","88441","0.0-2.0-0.0-1.3","j6wo","auditory","true"
"477.99999999998545","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","11","89427","0.0-2.0-0.0-1.4","j6wo","auditory","true"
"388","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","13","90322","0.0-2.0-0.0-1.5","j6wo","auditory","false"
"312","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","91151","0.0-2.0-0.0-1.6","j6wo","auditory","true"
"429","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","17","92087","0.0-2.0-0.0-1.7","j6wo","auditory","true"
"389","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","92984","0.0-2.0-0.0-1.8","j6wo","auditory","true"
"374","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","93866","0.0-2.0-0.0-1.9","j6wo","auditory","true"
"390","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","23","94762","0.0-2.0-0.0-1.10","j6wo","auditory","true"
"339.00000000001455","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","25","95607","0.0-2.0-0.0-1.11","j6wo","auditory","true"
"370","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","27","96485","0.0-2.0-0.0-1.12","j6wo","auditory","true"
"342","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","97334","0.0-2.0-0.0-1.13","j6wo","auditory","true"
"412","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","98261","0.0-2.0-0.0-1.14","j6wo","auditory","true"
"363","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","33","99137","0.0-2.0-0.0-1.15","j6wo","auditory","true"
"465.00000000001455","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","36","100983","0.0-2.0-0.1-1.16","j6wo","auditory","true"
"284","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","101773","0.0-2.0-0.1-1.17","j6wo","auditory","true"
"306","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","40","102585","0.0-2.0-0.1-1.18","j6wo","auditory","false"
"286.99999999998545","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","103379","0.0-2.0-0.1-1.19","j6wo","auditory","true"
"376","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","44","104267","0.0-2.0-0.1-1.20","j6wo","auditory","true"
"426","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","105200","0.0-2.0-0.1-1.21","j6wo","auditory","true"
"332","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","106036","0.0-2.0-0.1-1.22","j6wo","auditory","true"
"376","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","50","106918","0.0-2.0-0.1-1.23","j6wo","auditory","true"
"373","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","52","107797","0.0-2.0-0.1-1.24","j6wo","auditory","false"
"360","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","54","108671","0.0-2.0-0.1-1.25","j6wo","auditory","false"
"307","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","56","109485","0.0-2.0-0.1-1.26","j6wo","auditory","true"
"410.99999999998545","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","58","110402","0.0-2.0-0.1-1.27","j6wo","auditory","true"
"382","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","60","111290","0.0-2.0-0.1-1.28","j6wo","auditory","true"
"407.00000000001455","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","62","112211","0.0-2.0-0.1-1.29","j6wo","auditory","true"
"333.99999999998545","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","64","113051","0.0-2.0-0.1-1.30","j6wo","auditory","true"
"402","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","113961","0.0-2.0-0.1-1.31","j6wo","auditory","true"
