"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"914.6000000089407","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","3","32777","0.0-2.0-0.0-1.0","nzfw","auditory","true"
"748.9000000059605","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","34033","0.0-2.0-0.0-1.1","nzfw","auditory","true"
"712","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","7","35252","0.0-2.0-0.0-1.2","nzfw","auditory","true"
"512.5","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","36271","0.0-2.0-0.0-1.3","nzfw","auditory","true"
"540.5","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","11","37314","0.0-2.0-0.0-1.4","nzfw","auditory","true"
"399.70000000298023","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","38221","0.0-2.0-0.0-1.5","nzfw","auditory","true"
"450.3999999910593","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","39178","0.0-2.0-0.0-1.6","nzfw","auditory","true"
"315.79999999701977","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","39999","0.0-2.0-0.0-1.7","nzfw","auditory","true"
"371.20000000298023","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","19","40877","0.0-2.0-0.0-1.8","nzfw","auditory","true"
"324.70000000298023","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","21","41707","0.0-2.0-0.0-1.9","nzfw","auditory","true"
"399.3999999910593","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","23","42613","0.0-2.0-0.0-1.10","nzfw","auditory","true"
"320.30000001192093","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","43438","0.0-2.0-0.0-1.11","nzfw","auditory","true"
"260.3999999910593","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","44204","0.0-2.0-0.0-1.12","nzfw","auditory","true"
"319.09999999403954","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","45027","0.0-2.0-0.0-1.13","nzfw","auditory","true"
"245.70000000298023","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","31","45776","0.0-2.0-0.0-1.14","nzfw","auditory","true"
"296.29999999701977","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","33","46579","0.0-2.0-0.0-1.15","nzfw","auditory","false"
"466.20000000298023","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","57330","0.0-2.0-0.1-1.16","nzfw","auditory","true"
"459","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","58296","0.0-2.0-0.1-1.17","nzfw","auditory","true"
"496.40000000596046","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","40","59296","0.0-2.0-0.1-1.18","nzfw","auditory","true"
"377.79999999701977","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","60177","0.0-2.0-0.1-1.19","nzfw","auditory","true"
"428.5","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","44","61110","0.0-2.0-0.1-1.20","nzfw","auditory","true"
"491.8999999910593","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","62105","0.0-2.0-0.1-1.21","nzfw","auditory","true"
"409.29999999701977","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","48","63019","0.0-2.0-0.1-1.22","nzfw","auditory","true"
"281.79999999701977","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","63808","0.0-2.0-0.1-1.23","nzfw","auditory","true"
"273.70000000298023","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","52","64589","0.0-2.0-0.1-1.24","nzfw","auditory","true"
"413","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","54","65505","0.0-2.0-0.1-1.25","nzfw","auditory","true"
"364.20000000298023","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","56","66372","0.0-2.0-0.1-1.26","nzfw","auditory","true"
"408.20000000298023","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","58","67287","0.0-2.0-0.1-1.27","nzfw","auditory","true"
"326.5","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","60","68121","0.0-2.0-0.1-1.28","nzfw","auditory","true"
"355.8999999910593","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","62","68983","0.0-2.0-0.1-1.29","nzfw","auditory","true"
"406.70000000298023","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","69894","0.0-2.0-0.1-1.30","nzfw","auditory","true"
"413.20000000298023","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","70810","0.0-2.0-0.1-1.31","nzfw","auditory","true"
