"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1632","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","3","34529","0.0-2.0-0.0-1.0","sy4u","auditory","false"
"620.9999999999927","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","5","35655","0.0-2.0-0.0-1.1","sy4u","auditory","false"
"746.0000000000073","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","36906","0.0-2.0-0.0-1.2","sy4u","auditory","true"
"467","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","9","37877","0.0-2.0-0.0-1.3","sy4u","auditory","true"
"420","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","38799","0.0-2.0-0.0-1.4","sy4u","auditory","true"
"344","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","13","39647","0.0-2.0-0.0-1.5","sy4u","auditory","true"
"505.0000000000073","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","40655","0.0-2.0-0.0-1.6","sy4u","auditory","true"
"406.9999999999927","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","17","41568","0.0-2.0-0.0-1.7","sy4u","auditory","true"
"383","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","42454","0.0-2.0-0.0-1.8","sy4u","auditory","true"
"487","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","21","43444","0.0-2.0-0.0-1.9","sy4u","auditory","true"
"447","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","23","44395","0.0-2.0-0.0-1.10","sy4u","auditory","true"
"407.9999999999927","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","45307","0.0-2.0-0.0-1.11","sy4u","auditory","true"
"429","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","27","46239","0.0-2.0-0.0-1.12","sy4u","auditory","true"
"420","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","47163","0.0-2.0-0.0-1.13","sy4u","auditory","true"
"394.9999999999927","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","31","48062","0.0-2.0-0.0-1.14","sy4u","auditory","false"
"413","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","48979","0.0-2.0-0.0-1.15","sy4u","auditory","true"
"461","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","36","54814","0.0-2.0-0.1-1.16","sy4u","auditory","true"
"386","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","55706","0.0-2.0-0.1-1.17","sy4u","auditory","true"
"607","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","56817","0.0-2.0-0.1-1.18","sy4u","auditory","true"
"394","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","57714","0.0-2.0-0.1-1.19","sy4u","auditory","true"
"361","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","58580","0.0-2.0-0.1-1.20","sy4u","auditory","true"
"368","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","59452","0.0-2.0-0.1-1.21","sy4u","auditory","true"
"507.0000000000073","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","48","60462","0.0-2.0-0.1-1.22","sy4u","auditory","true"
"423.9999999999927","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","50","61389","0.0-2.0-0.1-1.23","sy4u","auditory","true"
"341","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","62234","0.0-2.0-0.1-1.24","sy4u","auditory","true"
"426","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","63164","0.0-2.0-0.1-1.25","sy4u","auditory","true"
"369","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","56","64036","0.0-2.0-0.1-1.26","sy4u","auditory","true"
"379.9999999999927","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","58","64920","0.0-2.0-0.1-1.27","sy4u","auditory","true"
"311","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","65734","0.0-2.0-0.1-1.28","sy4u","auditory","true"
"332.00000000001455","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","66570","0.0-2.0-0.1-1.29","sy4u","auditory","true"
"333","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","67408","0.0-2.0-0.1-1.30","sy4u","auditory","true"
"386","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","68296","0.0-2.0-0.1-1.31","sy4u","auditory","true"
