"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1219.0000000000036","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","3","29961","0.0-2.0-0.0-1.0","v0jn","auditory","true"
"459","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","5","30924","0.0-2.0-0.0-1.1","v0jn","auditory","true"
"467.00000000000364","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","7","31894","0.0-2.0-0.0-1.2","v0jn","auditory","true"
"575.0000000000073","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","32974","0.0-2.0-0.0-1.3","v0jn","auditory","true"
"440.0000000000073","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","33919","0.0-2.0-0.0-1.4","v0jn","auditory","true"
"397","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","13","34820","0.0-2.0-0.0-1.5","v0jn","auditory","true"
"384","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","35709","0.0-2.0-0.0-1.6","v0jn","auditory","true"
"392","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","17","36605","0.0-2.0-0.0-1.7","v0jn","auditory","true"
"503","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","37613","0.0-2.0-0.0-1.8","v0jn","auditory","true"
"406","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","21","38523","0.0-2.0-0.0-1.9","v0jn","auditory","true"
"415","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","23","39442","0.0-2.0-0.0-1.10","v0jn","auditory","true"
"429","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","40376","0.0-2.0-0.0-1.11","v0jn","auditory","true"
"407.0000000000073","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","41288","0.0-2.0-0.0-1.12","v0jn","auditory","true"
"479","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","29","42272","0.0-2.0-0.0-1.13","v0jn","auditory","true"
"478","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","31","43255","0.0-2.0-0.0-1.14","v0jn","auditory","true"
"436","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","44196","0.0-2.0-0.0-1.15","v0jn","auditory","true"
"470","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","36","50184","0.0-2.0-0.1-1.16","v0jn","auditory","true"
"403","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","51092","0.0-2.0-0.1-1.17","v0jn","auditory","true"
"420","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","40","52017","0.0-2.0-0.1-1.18","v0jn","auditory","true"
"437","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","52958","0.0-2.0-0.1-1.19","v0jn","auditory","true"
"396.0000000000073","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","44","53858","0.0-2.0-0.1-1.20","v0jn","auditory","true"
"372","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","54734","0.0-2.0-0.1-1.21","v0jn","auditory","true"
"470","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","55707","0.0-2.0-0.1-1.22","v0jn","auditory","true"
"386","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","50","56597","0.0-2.0-0.1-1.23","v0jn","auditory","true"
"443.9999999999927","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","57546","0.0-2.0-0.1-1.24","v0jn","auditory","true"
"441.0000000000073","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","54","58492","0.0-2.0-0.1-1.25","v0jn","auditory","false"
"470","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","59466","0.0-2.0-0.1-1.26","v0jn","auditory","true"
"391.9999999999927","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","58","60363","0.0-2.0-0.1-1.27","v0jn","auditory","true"
"391.9999999999927","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","61260","0.0-2.0-0.1-1.28","v0jn","auditory","true"
"451","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","62","62215","0.0-2.0-0.1-1.29","v0jn","auditory","true"
"459.0000000000073","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","64","63179","0.0-2.0-0.1-1.30","v0jn","auditory","true"
"470","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","66","64153","0.0-2.0-0.1-1.31","v0jn","auditory","true"
