"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1861.5","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","3","37673","0.0-2.0-0.0-1.0","wcux","auditory","false"
"1015.5","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","5","39206","0.0-2.0-0.0-1.1","wcux","auditory","true"
"653.9000000059605","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","7","40364","0.0-2.0-0.0-1.2","wcux","auditory","true"
"377.6000000014901","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","9","41248","0.0-2.0-0.0-1.3","wcux","auditory","true"
"803","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","11","42562","0.0-2.0-0.0-1.4","wcux","auditory","true"
"401.29999999701977","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","43471","0.0-2.0-0.0-1.5","wcux","auditory","true"
"1223.7000000029802","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","45205","0.0-2.0-0.0-1.6","wcux","auditory","true"
"1127","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","17","46846","0.0-2.0-0.0-1.7","wcux","auditory","true"
"599.3999999985099","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","19","47960","0.0-2.0-0.0-1.8","wcux","auditory","true"
"1301.4000000059605","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","49771","0.0-2.0-0.0-1.9","wcux","auditory","true"
"611.6000000014901","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","50892","0.0-2.0-0.0-1.10","wcux","auditory","true"
"640.7999999970198","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","25","52049","0.0-2.0-0.0-1.11","wcux","auditory","true"
"448.3999999985099","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","53001","0.0-2.0-0.0-1.12","wcux","auditory","true"
"557.2000000029802","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","54066","0.0-2.0-0.0-1.13","wcux","auditory","true"
"481.8999999985099","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","31","55052","0.0-2.0-0.0-1.14","wcux","auditory","true"
"582.3999999985099","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","56142","0.0-2.0-0.0-1.15","wcux","auditory","true"
"726.8999999985099","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","66703","0.0-2.0-0.1-1.16","wcux","auditory","true"
"404.5","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","67614","0.0-2.0-0.1-1.17","wcux","auditory","true"
"525","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","68652","0.0-2.0-0.1-1.18","wcux","auditory","true"
"430.5","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","69591","0.0-2.0-0.1-1.19","wcux","auditory","true"
"465.6000000014901","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","44","70562","0.0-2.0-0.1-1.20","wcux","auditory","true"
"755.8999999985099","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","46","71835","0.0-2.0-0.1-1.21","wcux","auditory","true"
"532.3999999985099","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","72883","0.0-2.0-0.1-1.22","wcux","auditory","true"
"400.1000000014901","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","73786","0.0-2.0-0.1-1.23","wcux","auditory","true"
"478.70000000298023","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","74783","0.0-2.0-0.1-1.24","wcux","auditory","true"
"616.6000000014901","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","54","75904","0.0-2.0-0.1-1.25","wcux","auditory","true"
"407.8999999985099","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","56","76816","0.0-2.0-0.1-1.26","wcux","auditory","true"
"479","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","58","77811","0.0-2.0-0.1-1.27","wcux","auditory","true"
"501.19999999552965","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","78820","0.0-2.0-0.1-1.28","wcux","auditory","true"
"912","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","62","80250","0.0-2.0-0.1-1.29","wcux","auditory","true"
"307.29999999701977","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","64","81072","0.0-2.0-0.1-1.30","wcux","auditory","true"
"408","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","66","81990","0.0-2.0-0.1-1.31","wcux","auditory","true"
