"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"873","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","3","152654","0.0-2.0-0.0-1.0","y0st","auditory","true"
"737","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","153899","0.0-2.0-0.0-1.1","y0st","auditory","true"
"446.0000000000291","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","7","154857","0.0-2.0-0.0-1.2","y0st","auditory","true"
"450","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","9","155823","0.0-2.0-0.0-1.3","y0st","auditory","true"
"318","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","11","156649","0.0-2.0-0.0-1.4","y0st","auditory","true"
"335","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","13","157492","0.0-2.0-0.0-1.5","y0st","auditory","true"
"444","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","15","158442","0.0-2.0-0.0-1.6","y0st","auditory","true"
"355","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","159305","0.0-2.0-0.0-1.7","y0st","auditory","true"
"346","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","19","160158","0.0-2.0-0.0-1.8","y0st","auditory","true"
"392","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","161058","0.0-2.0-0.0-1.9","y0st","auditory","true"
"363.9999999999709","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","161929","0.0-2.0-0.0-1.10","y0st","auditory","true"
"380","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","25","162818","0.0-2.0-0.0-1.11","y0st","auditory","true"
"304","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","27","163636","0.0-2.0-0.0-1.12","y0st","auditory","true"
"332","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","29","164475","0.0-2.0-0.0-1.13","y0st","auditory","true"
"339","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","31","165329","0.0-2.0-0.0-1.14","y0st","auditory","false"
"471","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","166307","0.0-2.0-0.0-1.15","y0st","auditory","true"
"389","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","175080","0.0-2.0-0.1-1.16","y0st","auditory","true"
"461","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","176056","0.0-2.0-0.1-1.17","y0st","auditory","true"
"421","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","40","176984","0.0-2.0-0.1-1.18","y0st","auditory","true"
"392","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","177892","0.0-2.0-0.1-1.19","y0st","auditory","true"
"391.9999999999709","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","178791","0.0-2.0-0.1-1.20","y0st","auditory","true"
"379","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","179678","0.0-2.0-0.1-1.21","y0st","auditory","true"
"363","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","48","180547","0.0-2.0-0.1-1.22","y0st","auditory","true"
"330.9999999999709","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","50","181384","0.0-2.0-0.1-1.23","y0st","auditory","true"
"428","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","182326","0.0-2.0-0.1-1.24","y0st","auditory","true"
"454.9999999999709","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","54","183289","0.0-2.0-0.1-1.25","y0st","auditory","true"
"421","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","56","184216","0.0-2.0-0.1-1.26","y0st","auditory","true"
"438","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","58","185161","0.0-2.0-0.1-1.27","y0st","auditory","true"
"393.0000000000291","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","60","186059","0.0-2.0-0.1-1.28","y0st","auditory","true"
"346.9999999999709","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","62","186913","0.0-2.0-0.1-1.29","y0st","auditory","false"
"453","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","187874","0.0-2.0-0.1-1.30","y0st","auditory","true"
"371","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","66","188762","0.0-2.0-0.1-1.31","y0st","auditory","true"
